Participant,Experiment,Stimulus,Saccade_Frequency,Avg_Saccade_Duration,Avg_Gaze_Deviation,Avg_Fixation_Deviation,Avg_Saccade_Deviation
56,20,14 devant point chat G.png,0.072289156626506,40.05979999997798,223.85087887164354,215.22738817152262,284.5115229370078
56,21,14 devant point chat G.png,0.0338983050847457,20.035000000035502,84.8243137530074,84.21798480636741,107.55666490305707
57,20,14 devant point chat G.png,0.0602409638554216,23.849999999960087,161.81492950466338,162.1782035047864,128.8088833864049
31,20,14 devant point chat G.png,0.037593984962406,20.86675000003015,86.47656629224393,85.29606592210888,158.6930040026394
31,21,14 devant point chat G.png,0.0919540229885057,50.76800000006479,181.73732891956362,161.83442769897172,335.87917012384463
57,21,14 devant point chat G.png,0.0189873417721519,25.039000000339,146.5069988116553,144.79974879621759,186.284702942665
36,20,14 devant point chat G.png,0.0338983050847457,33.37999999988824,106.35297134412073,103.40214795239511,185.9670982087508
36,21,14 devant point chat G.png,0.0617977528089887,61.20133333311727,120.80482836331336,119.00610051489939,207.2044456914334
27,18,14 devant point chat droite.jpg,0.0,0.0,0.0,0.0,0.0
49,22,14 devant point chat droite.jpg,0.1180555555555555,35.36430000010878,96.48393209546339,92.83474433758806,121.63463136864662
52,22,14 devant point chat droite.jpg,0.0642857142857142,29.832499999979216,63.295644552367335,58.844403547547266,137.31454080263364
23,18,14 devant point chat droite.jpg,0.2926829268292683,101.44780000075552,460.3176370378541,492.1855897281729,377.7506687038464
6,18,14 devant point chat droite.jpg,0.0,0.0,0.0,0.0,0.0
10,18,14 devant point chat droite.jpg,0.0821917808219178,39.76283333334019,344.2819693176616,347.5105909229224,308.76713165979294
33,18,14 devant point chat droite.jpg,0.0410958904109589,39.79133333343634,161.35727527122725,155.39973750456528,299.37356686556353
34,18,14 devant point chat droite.jpg,0.1103448275862069,39.78075000015088,130.41481006375733,115.8720999658867,252.85339094450924
13,22,14 devant point chat droite.jpg,0.3055555555555556,87.54999999962747,443.76596065166467,396.17726237351616,412.39289449818784
9,18,14 devant point chat droite.jpg,0.0,0.0,179.94374600360237,0.0,0.0
36,18,14 devant point chat droite.jpg,0.0935251798561151,43.08016666653324,193.01842854089708,191.12951778039462,216.74011585623592
40,18,14 devant point chat droite.jpg,0.1232876712328767,55.10542857141679,162.24998067566293,153.99283815872832,223.93569241982104
2,18,14 devant point chat droite.jpg,0.0,0.0,0.0,0.0,0.0
43,22,14 devant point chat droite.jpg,0.0769230769230769,53.03699999985838,136.26854636027207,122.03123527245086,310.10980035373717
17,22,14 devant point chat droite.jpg,0.0,0.0,0.0,0.0,0.0
18,22,14 devant point chat droite.jpg,0.2149532710280373,72.38124999997672,246.96701540717618,211.0924679350728,222.8354626337065
32,18,14 devant point chat droite.jpg,0.1203007518796992,35.393333333339086,117.07737262410473,112.65985661071059,148.8285619721029
37,18,14 devant point chat droite.jpg,0.0428571428571428,23.89119999995746,166.5113416195855,157.49798850549323,192.58278161073486
1,18,14 devant point chat droite.jpg,0.0,0.0,0.0,0.0,0.0
14,22,14 devant point chat droite.jpg,0.2946428571428571,86.64787499997965,484.58849531215753,444.543998716661,545.0210893107383
42,22,14 devant point chat droite.jpg,0.0555555555555555,39.777749999893786,304.2838961943475,305.366840030524,286.0092189588687
11,18,14 devant point chat droite.jpg,0.5454545454545454,208.87075000000183,145.53078208949407,83.86396957181077,166.37927950942012
28,22,14 devant point chat droite.jpg,0.0,0.0,0.0,0.0,0.0
8,18,14 devant point chat droite.jpg,0.2887323943661972,52.305187499995554,447.66743762918395,454.9441540885848,422.4941794024224
7,18,14 devant point chat droite.jpg,0.0,0.0,470.6855942101397,0.0,0.0
5,18,14 devant point chat droite.jpg,0.0,0.0,512.1281603331263,539.4736813918677,0.0
39,18,14 devant point chat droite.jpg,0.4636363636363636,144.90285714316374,122.17107226738916,102.16963945568112,113.16396576966982
31,18,14 devant point chat droite.jpg,0.0689655172413793,33.123000000022635,187.62760147002209,182.6416829700832,254.4389093692038
30,18,14 devant point chat droite.jpg,0.1103448275862069,63.67580000031885,172.57595247101375,145.27053580235315,391.01928582029825
4,18,14 devant point chat droite.jpg,0.0863309352517985,29.84212500002377,265.4444227865789,265.23572035927134,258.6668327238955
48,22,14 devant point chat droite.jpg,0.0507246376811594,34.781749999996464,306.8500060495017,308.101333647772,308.2421660929312
15,22,14 devant point chat droite.jpg,0.1098901098901098,39.82579999994486,156.83676894789102,104.50191260585645,212.53079141019944
3,18,14 devant point chat droite.jpg,0.0518518518518518,27.82080000001006,147.6194989425025,137.89635777516105,262.77061383080047
2,19,14 devant point chat gauche.jpg,0.2571428571428571,89.50100000016027,423.66752963768005,443.3908610702542,385.92242860703817
32,19,14 devant point chat gauche.jpg,0.0785714285714285,54.68600000009974,129.7447413664378,116.32644519285859,245.73774322027955
1,19,14 devant point chat gauche.jpg,0.0684931506849315,41.10750000000311,116.85669602967694,113.40892309223055,163.05685339145867
33,19,14 devant point chat gauche.jpg,0.0275862068965517,19.877500000060536,90.8172653736279,90.07534570505129,116.78445377381013
3,19,14 devant point chat gauche.jpg,0.1142857142857142,63.61460000003863,158.38062918416836,132.3014617280874,357.07781653973063
11,19,14 devant point chat gauche.jpg,0.0,0.0,0.0,0.0,0.0
31,19,14 devant point chat gauche.jpg,0.1917808219178082,92.78833333333266,130.12048059043414,119.44285972838244,174.73768204972157
30,19,14 devant point chat gauche.jpg,0.0422535211267605,29.846750000027896,165.97764707700352,168.76661612819325,96.8151137944504
10,19,14 devant point chat gauche.jpg,0.064,31.795200000004844,206.95222998694118,200.20218062704177,255.74605892933712
36,19,14 devant point chat gauche.jpg,0.0136986301369863,19.880499999737367,75.17304232786348,74.0180913575631,157.1745612191914
5,19,14 devant point chat gauche.jpg,0.1444444444444444,36.93571428571886,229.18451251407876,206.8419930663176,314.0206895844913
4,19,14 devant point chat gauche.jpg,0.2206896551724138,70.74599999986094,701.0133102153843,710.6704497775401,663.7167712167137
9,19,14 devant point chat gauche.jpg,0.0,0.0,726.587086685616,0.0,0.0
39,19,14 devant point chat gauche.jpg,0.0273972602739726,39.81199999991805,130.21167805641642,128.4902237012895,190.46258048585875
40,19,14 devant point chat gauche.jpg,0.0616438356164383,29.809999999900658,191.70074827638695,188.37001786934619,242.0317855383368
34,19,14 devant point chat gauche.jpg,0.2741935483870967,67.62880000006263,174.57965992984026,139.23350118708188,231.28211031201988
8,19,14 devant point chat gauche.jpg,0.0,0.0,0.0,0.0,0.0
6,19,14 devant point chat gauche.jpg,0.2,75.56959999985847,300.2267105437705,305.3776413475163,268.5321114254507
52,6,14 tete pointage chat gauche.jpg,0.0972222222222222,34.80687500003751,501.3403483702187,515.789961463664,368.19748486632955
23,6,14 tete pointage chat gauche.jpg,0.0890410958904109,46.1566666662693,210.57573556211753,213.44700298737618,181.42132785949096
47,6,14 tete pointage chat gauche.jpg,0.0254237288135593,19.873999999838517,146.65166413269608,145.46828154995913,191.6202022767001
50,6,14 tete pointage chat gauche.jpg,0.0416666666666666,23.876800000107323,313.0345572630276,314.4977864352057,279.6241578316287
42,6,14 tete pointage chat gauche.jpg,0.0,0.0,0.0,0.0,0.0
17,6,14 tete pointage chat gauche.jpg,0.1779661016949152,46.430666666582205,357.4873037823837,323.3928226236622,527.3606983587489
46,6,14 tete pointage chat gauche.jpg,0.1034482758620689,47.25985714280978,276.804687527582,282.0313411777532,234.76013773012525
21,6,14 tete pointage chat gauche.jpg,0.0,0.0,0.0,0.0,0.0
53,6,14 tete pointage chat gauche.jpg,0.1313131313131313,57.473555555593016,142.63169647942357,134.4532669329479,263.3904008419331
49,6,14 tete pointage chat gauche.jpg,0.2230215827338129,53.50899999992301,301.6912483649625,280.29389705861115,350.195977426675
13,6,14 tete pointage chat gauche.jpg,0.2110091743119266,69.56671428587288,362.80941701678574,365.4209863133128,322.86958501782004
55,6,14 tete pointage chat gauche.jpg,0.5108695652173914,246.600999999886,389.5725745327609,422.0777976863899,262.67681923007797
6,19,15 devant - Copie.jpg,0.2551724137931034,96.56187499989755,280.14277134896815,262.1839271200266,332.07780736239386
10,19,15 devant - Copie.jpg,0.1411764705882353,47.7077999999834,302.4268992180084,225.9251983521786,155.70983436122273
9,19,15 devant - Copie.jpg,0.0,0.0,571.2646882082155,0.0,0.0
2,19,15 devant - Copie.jpg,0.0,0.0,408.6000917145314,0.0,0.0
4,19,15 devant - Copie.jpg,0.136986301369863,44.20866666677143,319.4102154977321,331.22490861847734,246.15911814911138
33,19,15 devant - Copie.jpg,0.0616438356164383,34.784166666523866,127.65814813590754,124.62898867867113,173.09553999445396
5,19,15 devant - Copie.jpg,0.0,0.0,0.0,0.0,0.0
11,19,15 devant - Copie.jpg,0.0,0.0,0.0,0.0,0.0
